folder,init_clip_score,init_ocr_loss,avg_clip_score,avg_ocr_loss,iteration,clip_score,ocr_loss
15_موز_12_seed_42_ocr_loss_0.5_angels_loss_0.5,,,0.23173436224460603,0.007602846203371883,0,0.19937531650066376,0.0
15_موز_12_seed_42_ocr_loss_0.5_angels_loss_0.5,,,0.23173436224460603,0.007602846203371883,50,0.2232130616903305,0.004117022734135389
15_موز_12_seed_42_ocr_loss_0.5_angels_loss_0.5,,,0.23173436224460603,0.007602846203371883,100,0.23193113505840302,0.0067544602788984776
15_موز_12_seed_42_ocr_loss_0.5_angels_loss_0.5,,,0.23173436224460603,0.007602846203371883,150,0.23699985444545746,0.009139611385762691
15_موز_12_seed_42_ocr_loss_0.5_angels_loss_0.5,,,0.23173436224460603,0.007602846203371883,200,0.22818027436733246,0.00744856521487236
15_موز_12_seed_42_ocr_loss_0.5_angels_loss_0.5,,,0.23173436224460603,0.007602846203371883,250,0.2224627584218979,0.007782918866723776
15_موز_12_seed_42_ocr_loss_0.5_angels_loss_0.5,,,0.23173436224460603,0.007602846203371883,300,0.22531716525554657,0.010088896378874779
15_موز_12_seed_42_ocr_loss_0.5_angels_loss_0.5,,,0.23173436224460603,0.007602846203371883,350,0.23920808732509613,0.009041577577590942
15_موز_12_seed_42_ocr_loss_0.5_angels_loss_0.5,,,0.23173436224460603,0.007602846203371883,400,0.25455448031425476,0.010243740864098072
15_موز_12_seed_42_ocr_loss_0.5_angels_loss_0.5,,,0.23173436224460603,0.007602846203371883,450,0.25610148906707764,0.011411668732762337
15_فراولة_01_seed_42_ocr_loss_1.0_angels_loss_0.5,,,0.21637136042118071,0.011144822370260954,0,0.15759126842021942,0.0
15_فراولة_01_seed_42_ocr_loss_1.0_angels_loss_0.5,,,0.21637136042118071,0.011144822370260954,50,0.18267640471458435,0.004035037010908127
15_فراولة_01_seed_42_ocr_loss_1.0_angels_loss_0.5,,,0.21637136042118071,0.011144822370260954,100,0.2131652683019638,0.011087283492088318
15_فراولة_01_seed_42_ocr_loss_1.0_angels_loss_0.5,,,0.21637136042118071,0.011144822370260954,150,0.22069399058818817,0.0106605663895607
15_فراولة_01_seed_42_ocr_loss_1.0_angels_loss_0.5,,,0.21637136042118071,0.011144822370260954,200,0.22770240902900696,0.012224143370985985
15_فراولة_01_seed_42_ocr_loss_1.0_angels_loss_0.5,,,0.21637136042118071,0.011144822370260954,250,0.22462844848632812,0.011597241275012493
15_فراولة_01_seed_42_ocr_loss_1.0_angels_loss_0.5,,,0.21637136042118071,0.011144822370260954,300,0.225433349609375,0.01749996282160282
15_فراولة_01_seed_42_ocr_loss_1.0_angels_loss_0.5,,,0.21637136042118071,0.011144822370260954,350,0.23186743259429932,0.013778850436210632
15_فراولة_01_seed_42_ocr_loss_1.0_angels_loss_0.5,,,0.21637136042118071,0.011144822370260954,400,0.23934681713581085,0.014736948534846306
15_فراولة_01_seed_42_ocr_loss_1.0_angels_loss_0.5,,,0.21637136042118071,0.011144822370260954,450,0.24060821533203125,0.015828190371394157
15_طباخ_0_seed_42_ocr_loss_0.5_angels_loss_0.5,,,0.20415261387825012,0.018002741131931545,0,0.19354775547981262,0.0
15_طباخ_0_seed_42_ocr_loss_0.5_angels_loss_0.5,,,0.20415261387825012,0.018002741131931545,50,0.18957972526550293,0.006742904894053936
15_طباخ_0_seed_42_ocr_loss_0.5_angels_loss_0.5,,,0.20415261387825012,0.018002741131931545,100,0.19704368710517883,0.015179881826043129
15_طباخ_0_seed_42_ocr_loss_0.5_angels_loss_0.5,,,0.20415261387825012,0.018002741131931545,150,0.203118234872818,0.018781326711177826
15_طباخ_0_seed_42_ocr_loss_0.5_angels_loss_0.5,,,0.20415261387825012,0.018002741131931545,200,0.20604243874549866,0.017982203513383865
15_طباخ_0_seed_42_ocr_loss_0.5_angels_loss_0.5,,,0.20415261387825012,0.018002741131931545,250,0.20234327018260956,0.02037814073264599
15_طباخ_0_seed_42_ocr_loss_0.5_angels_loss_0.5,,,0.20415261387825012,0.018002741131931545,300,0.2128361463546753,0.028197264298796654
15_طباخ_0_seed_42_ocr_loss_0.5_angels_loss_0.5,,,0.20415261387825012,0.018002741131931545,350,0.21710430085659027,0.023586884140968323
15_طباخ_0_seed_42_ocr_loss_0.5_angels_loss_0.5,,,0.20415261387825012,0.018002741131931545,400,0.21679344773292542,0.02378355897963047
15_طباخ_0_seed_42_ocr_loss_0.5_angels_loss_0.5,,,0.20415261387825012,0.018002741131931545,450,0.20311713218688965,0.025395246222615242
15_إيطاليا_234_seed_42_ocr_loss_1.5_angels_loss_0.5,,,0.22320408076047898,0.009453565580770373,0,0.20837374031543732,0.0
15_إيطاليا_234_seed_42_ocr_loss_1.5_angels_loss_0.5,,,0.22320408076047898,0.009453565580770373,50,0.21483592689037323,0.002467768732458353
15_إيطاليا_234_seed_42_ocr_loss_1.5_angels_loss_0.5,,,0.22320408076047898,0.009453565580770373,100,0.22783449292182922,0.008966132067143917
15_إيطاليا_234_seed_42_ocr_loss_1.5_angels_loss_0.5,,,0.22320408076047898,0.009453565580770373,150,0.22609220445156097,0.010018080472946167
15_إيطاليا_234_seed_42_ocr_loss_1.5_angels_loss_0.5,,,0.22320408076047898,0.009453565580770373,200,0.23200519382953644,0.009710288606584072
15_إيطاليا_234_seed_42_ocr_loss_1.5_angels_loss_0.5,,,0.22320408076047898,0.009453565580770373,250,0.22385071218013763,0.010717969387769699
