folder,avg_clip_score,avg_ocr_loss,iteration,clip_score,ocr_loss
15_موز_12_seed_42_angels_loss_0.5,0.36614448577165604,0.19221857115626334,0,0.19286222755908966,0.10401903837919235
15_موز_12_seed_42_angels_loss_0.5,0.36614448577165604,0.19221857115626334,20,0.364080548286438,0.1483343094587326
15_موز_12_seed_42_angels_loss_0.5,0.36614448577165604,0.19221857115626334,40,0.3807048499584198,0.17155484855175018
15_موز_12_seed_42_angels_loss_0.5,0.36614448577165604,0.19221857115626334,60,0.3800215423107147,0.16750167310237885
15_موز_12_seed_42_angels_loss_0.5,0.36614448577165604,0.19221857115626334,80,0.38340702652931213,0.17172813415527344
15_موز_12_seed_42_angels_loss_0.5,0.36614448577165604,0.19221857115626334,100,0.3887668550014496,0.2351766973733902
15_موز_12_seed_42_angels_loss_0.5,0.36614448577165604,0.19221857115626334,120,0.39436468482017517,0.22225116193294525
15_موز_12_seed_42_angels_loss_0.5,0.36614448577165604,0.19221857115626334,140,0.3934139609336853,0.2436227947473526
15_موز_12_seed_42_angels_loss_0.5,0.36614448577165604,0.19221857115626334,160,0.39241939783096313,0.23170429468154907
15_موز_12_seed_42_angels_loss_0.5,0.36614448577165604,0.19221857115626334,180,0.39140376448631287,0.22629275918006897
15_فراولة_01_seed_42_angels_loss_0.5,0.3019516855478287,0.2859993755817413,0,0.16802509129047394,0.29818570613861084
15_فراولة_01_seed_42_angels_loss_0.5,0.3019516855478287,0.2859993755817413,20,0.20918691158294678,0.3000467121601105
15_فراولة_01_seed_42_angels_loss_0.5,0.3019516855478287,0.2859993755817413,40,0.23702703416347504,0.29541251063346863
15_فراولة_01_seed_42_angels_loss_0.5,0.3019516855478287,0.2859993755817413,60,0.31732460856437683,0.2849685847759247
15_فراولة_01_seed_42_angels_loss_0.5,0.3019516855478287,0.2859993755817413,80,0.3372427821159363,0.27833473682403564
15_فراولة_01_seed_42_angels_loss_0.5,0.3019516855478287,0.2859993755817413,100,0.34345823526382446,0.28303763270378113
15_فراولة_01_seed_42_angels_loss_0.5,0.3019516855478287,0.2859993755817413,120,0.34970638155937195,0.2863730490207672
15_فراولة_01_seed_42_angels_loss_0.5,0.3019516855478287,0.2859993755817413,140,0.34743237495422363,0.27851083874702454
15_فراولة_01_seed_42_angels_loss_0.5,0.3019516855478287,0.2859993755817413,160,0.35599976778030396,0.2738726735115051
15_فراولة_01_seed_42_angels_loss_0.5,0.3019516855478287,0.2859993755817413,180,0.3541136682033539,0.28125131130218506
15_طباخ_0_seed_42_angels_loss_0.5,0.3374069228768349,0.15193216800689696,0,0.1951674073934555,0.08780781924724579
15_طباخ_0_seed_42_angels_loss_0.5,0.3374069228768349,0.15193216800689696,20,0.30168047547340393,0.16568376123905182
15_طباخ_0_seed_42_angels_loss_0.5,0.3374069228768349,0.15193216800689696,40,0.34664374589920044,0.1519189327955246
15_طباخ_0_seed_42_angels_loss_0.5,0.3374069228768349,0.15193216800689696,60,0.35564088821411133,0.15114763379096985
15_طباخ_0_seed_42_angels_loss_0.5,0.3374069228768349,0.15193216800689696,80,0.36297765374183655,0.16474688053131104
15_طباخ_0_seed_42_angels_loss_0.5,0.3374069228768349,0.15193216800689696,100,0.3701200485229492,0.1620073914527893
15_طباخ_0_seed_42_angels_loss_0.5,0.3374069228768349,0.15193216800689696,120,0.3630443513393402,0.16955000162124634
15_طباخ_0_seed_42_angels_loss_0.5,0.3374069228768349,0.15193216800689696,140,0.3580205738544464,0.16280581057071686
15_طباخ_0_seed_42_angels_loss_0.5,0.3374069228768349,0.15193216800689696,160,0.361457884311676,0.14711131155490875
15_طباخ_0_seed_42_angels_loss_0.5,0.3374069228768349,0.15193216800689696,180,0.3593162000179291,0.15654213726520538
15_إيطاليا_234_seed_42_angels_loss_0.5,0.3524087995290756,0.2497837319970131,0,0.216904878616333,0.12262368202209473
15_إيطاليا_234_seed_42_angels_loss_0.5,0.3524087995290756,0.2497837319970131,20,0.3284827172756195,0.2439759224653244
15_إيطاليا_234_seed_42_angels_loss_0.5,0.3524087995290756,0.2497837319970131,40,0.358257532119751,0.25614240765571594
15_إيطاليا_234_seed_42_angels_loss_0.5,0.3524087995290756,0.2497837319970131,60,0.35992559790611267,0.25999194383621216
15_إيطاليا_234_seed_42_angels_loss_0.5,0.3524087995290756,0.2497837319970131,80,0.37237632274627686,0.26991209387779236
15_إيطاليا_234_seed_42_angels_loss_0.5,0.3524087995290756,0.2497837319970131,100,0.36971184611320496,0.2647657096385956
15_إيطاليا_234_seed_42_angels_loss_0.5,0.3524087995290756,0.2497837319970131,120,0.3779918849468231,0.2672996520996094
15_إيطاليا_234_seed_42_angels_loss_0.5,0.3524087995290756,0.2497837319970131,140,0.37973862886428833,0.2701379060745239
15_إيطاليا_234_seed_42_angels_loss_0.5,0.3524087995290756,0.2497837319970131,160,0.3800879120826721,0.27099013328552246
15_إيطاليا_234_seed_42_angels_loss_0.5,0.3524087995290756,0.2497837319970131,180,0.3806106746196747,0.27199786901474
13_قرش_01_seed_42_angels_loss_0.5,0.3675986245274544,0.266486207395792,0,0.1962994784116745,0.11819732934236526
13_قرش_01_seed_42_angels_loss_0.5,0.3675986245274544,0.266486207395792,20,0.36941954493522644,0.2994017004966736
13_قرش_01_seed_42_angels_loss_0.5,0.3675986245274544,0.266486207395792,40,0.3804405927658081,0.30115702748298645
13_قرش_01_seed_42_angels_loss_0.5,0.3675986245274544,0.266486207395792,60,0.3805506229400635,0.3324778378009796
