folder,avg_clip_score,avg_ocr_loss,iteration,clip_score,ocr_loss
15_موز_12_seed_42_angels_loss_0.5,0.38803714513778687,0.21682116389274597,199,0.38803714513778687,0.21682116389274597
15_فراولة_01_seed_42_angels_loss_0.5,0.3581840395927429,0.2749355435371399,199,0.3581840395927429,0.2749355435371399
15_طباخ_0_seed_42_angels_loss_0.5,0.3619213104248047,0.15438523888587952,199,0.3619213104248047,0.15438523888587952
15_إيطاليا_234_seed_42_angels_loss_0.5,0.38574668765068054,0.27117854356765747,199,0.38574668765068054,0.27117854356765747
13_قرش_01_seed_42_angels_loss_0.5,0.39043426513671875,0.23422466218471527,199,0.39043426513671875,0.23422466218471527
08_يوغا_23_seed_42_angels_loss_0.5,0.397865355014801,0.24609600007534027,199,0.397865355014801,0.24609600007534027
08_طيار_012_seed_42_angels_loss_0.5,0.38179370760917664,0.1636776626110077,199,0.38179370760917664,0.1636776626110077
06_معرفة_1234_seed_42_angels_loss_0.5,0.41278955340385437,0.2959342300891876,199,0.41278955340385437,0.2959342300891876
06_جري_1_seed_42_angels_loss_0.5,0.37071818113327026,0.23915043473243713,199,0.37071818113327026,0.23915043473243713
06_عطف_0_seed_42_angels_loss_0.5,0.34107381105422974,0.2298589050769806,199,0.34107381105422974,0.2298589050769806
06_ثعلب_012_seed_1_angels_loss_0.5,0.38587984442710876,0.20062601566314697,199,0.38587984442710876,0.20062601566314697
05_فلسطين_3_seed_42_angels_loss_0.5,0.3824719786643982,0.23544065654277802,199,0.3824719786643982,0.23544065654277802
ITERATION AVERAGES,,,,,
,0.3797429899374644,0.2301940880715847,199,,
