folder,init_clip_score,init_ocr_loss,avg_clip_score,avg_ocr_loss,iteration,clip_score,ocr_loss
15_موز_12_seed_42_angels_loss_0.5,,,0.249661585688591,0.0318543691188097,0,0.19578446447849274,0.0
15_موز_12_seed_42_angels_loss_0.5,,,0.249661585688591,0.0318543691188097,50,0.23895075917243958,0.016031593084335327
15_موز_12_seed_42_angels_loss_0.5,,,0.249661585688591,0.0318543691188097,100,0.24649007618427277,0.021663717925548553
15_موز_12_seed_42_angels_loss_0.5,,,0.249661585688591,0.0318543691188097,150,0.24564488232135773,0.04059531167149544
15_موز_12_seed_42_angels_loss_0.5,,,0.249661585688591,0.0318543691188097,200,0.24272839725017548,0.04468870162963867
15_موز_12_seed_42_angels_loss_0.5,,,0.249661585688591,0.0318543691188097,250,0.2559952139854431,0.035983264446258545
15_موز_12_seed_42_angels_loss_0.5,,,0.249661585688591,0.0318543691188097,300,0.2628714442253113,0.03364133462309837
15_موز_12_seed_42_angels_loss_0.5,,,0.249661585688591,0.0318543691188097,350,0.25839540362358093,0.044159967452287674
15_موز_12_seed_42_angels_loss_0.5,,,0.249661585688591,0.0318543691188097,400,0.2653411030769348,0.040925171226263046
15_موز_12_seed_42_angels_loss_0.5,,,0.249661585688591,0.0318543691188097,450,0.2844141125679016,0.04085462912917137
15_فراولة_01_seed_42_angels_loss_0.5,,,0.22279094904661179,0.256759593449533,0,0.15520726144313812,0.0
15_فراولة_01_seed_42_angels_loss_0.5,,,0.22279094904661179,0.256759593449533,50,0.17933671176433563,0.012322960421442986
15_فراولة_01_seed_42_angels_loss_0.5,,,0.22279094904661179,0.256759593449533,100,0.2064245045185089,0.06346289068460464
15_فراولة_01_seed_42_angels_loss_0.5,,,0.22279094904661179,0.256759593449533,150,0.22398941218852997,0.2452007234096527
15_فراولة_01_seed_42_angels_loss_0.5,,,0.22279094904661179,0.256759593449533,200,0.2440708726644516,0.28970572352409363
15_فراولة_01_seed_42_angels_loss_0.5,,,0.22279094904661179,0.256759593449533,250,0.23347221314907074,0.3347909152507782
15_فراولة_01_seed_42_angels_loss_0.5,,,0.22279094904661179,0.256759593449533,300,0.23154039680957794,0.3967275619506836
15_فراولة_01_seed_42_angels_loss_0.5,,,0.22279094904661179,0.256759593449533,350,0.24538174271583557,0.40345466136932373
15_فراولة_01_seed_42_angels_loss_0.5,,,0.22279094904661179,0.256759593449533,400,0.24647633731365204,0.3946096897125244
15_فراولة_01_seed_42_angels_loss_0.5,,,0.22279094904661179,0.256759593449533,450,0.26201003789901733,0.42732080817222595
15_طباخ_0_seed_42_angels_loss_0.5,,,0.2133648633956909,0.06854023169726134,0,0.19130730628967285,0.0
15_طباخ_0_seed_42_angels_loss_0.5,,,0.2133648633956909,0.06854023169726134,50,0.19453702867031097,0.012593120336532593
15_طباخ_0_seed_42_angels_loss_0.5,,,0.2133648633956909,0.06854023169726134,100,0.20383594930171967,0.022620899602770805
15_طباخ_0_seed_42_angels_loss_0.5,,,0.2133648633956909,0.06854023169726134,150,0.21407842636108398,0.04820763319730759
15_طباخ_0_seed_42_angels_loss_0.5,,,0.2133648633956909,0.06854023169726134,200,0.20831970870494843,0.06747789680957794
15_طباخ_0_seed_42_angels_loss_0.5,,,0.2133648633956909,0.06854023169726134,250,0.22246141731739044,0.08381471037864685
15_طباخ_0_seed_42_angels_loss_0.5,,,0.2133648633956909,0.06854023169726134,300,0.2148984670639038,0.07892262190580368
15_طباخ_0_seed_42_angels_loss_0.5,,,0.2133648633956909,0.06854023169726134,350,0.22479043900966644,0.10204268246889114
15_طباخ_0_seed_42_angels_loss_0.5,,,0.2133648633956909,0.06854023169726134,400,0.23739878833293915,0.1450968086719513
15_طباخ_0_seed_42_angels_loss_0.5,,,0.2133648633956909,0.06854023169726134,450,0.22202110290527344,0.12462594360113144
15_إيطاليا_234_seed_42_angels_loss_0.5,,,0.21272775977849961,0.02654735231772065,0,0.2095872163772583,0.0
15_إيطاليا_234_seed_42_angels_loss_0.5,,,0.21272775977849961,0.02654735231772065,50,0.20788991451263428,0.0020244689658284187
15_إيطاليا_234_seed_42_angels_loss_0.5,,,0.21272775977849961,0.02654735231772065,100,0.2163442224264145,0.012831656262278557
15_إيطاليا_234_seed_42_angels_loss_0.5,,,0.21272775977849961,0.02654735231772065,150,0.21743205189704895,0.020092856138944626
15_إيطاليا_234_seed_42_angels_loss_0.5,,,0.21272775977849961,0.02654735231772065,200,0.2168523371219635,0.023523984476923943
15_إيطاليا_234_seed_42_angels_loss_0.5,,,0.21272775977849961,0.02654735231772065,250,0.22013354301452637,0.05320947989821434
15_إيطاليا_234_seed_42_angels_loss_0.5,,,0.21272775977849961,0.02654735231772065,300,0.20569121837615967,0.03631781414151192
15_إيطاليا_234_seed_42_angels_loss_0.5,,,0.21272775977849961,0.02654735231772065,350,0.20401489734649658,0.032808464020490646
15_إيطاليا_234_seed_42_angels_loss_0.5,,,0.21272775977849961,0.02654735231772065,400,0.21213510632514954,0.04731817543506622
15_إيطاليا_234_seed_42_angels_loss_0.5,,,0.21272775977849961,0.02654735231772065,450,0.21719709038734436,0.037346623837947845
13_قرش_01_seed_42_angels_loss_0.5,,,0.28309970647096633,0.21056345030665397,0,0.1909775286912918,0.0
13_قرش_01_seed_42_angels_loss_0.5,,,0.28309970647096633,0.21056345030665397,50,0.2452625036239624,0.10162702947854996
13_قرش_01_seed_42_angels_loss_0.5,,,0.28309970647096633,0.21056345030665397,100,0.2677001655101776,0.1761658638715744
