folder,init_clip_score,init_ocr_loss,avg_clip_score,avg_ocr_loss,iteration,clip_score,ocr_loss
15_موز_12_seed_42_ocr_loss_0.5_angels_loss_0.5,,,0.2575649321079254,0.012549316510558128,499,0.2575649321079254,0.012549316510558128
15_فراولة_01_seed_42_ocr_loss_1.0_angels_loss_0.5,,,0.23968298733234406,0.02271244116127491,499,0.23968298733234406,0.02271244116127491
15_طباخ_0_seed_42_ocr_loss_0.5_angels_loss_0.5,,,0.20507340133190155,0.02813631109893322,499,0.20507340133190155,0.02813631109893322
15_إيطاليا_234_seed_42_ocr_loss_1.5_angels_loss_0.5,,,0.23454487323760986,0.014547153376042843,499,0.23454487323760986,0.014547153376042843
13_قرش_01_seed_42_ocr_loss_1.0_angels_loss_0.5,,,0.2759248614311218,0.01418893039226532,499,0.2759248614311218,0.01418893039226532
08_يوغا_23_seed_42_ocr_loss_1.0_angels_loss_0.5,,,0.28564921021461487,0.013399423100054264,499,0.28564921021461487,0.013399423100054264
08_طيار_012_seed_42_ocr_loss_1.5_angels_loss_0.5,,,0.2392861694097519,0.011873334646224976,499,0.2392861694097519,0.011873334646224976
06_معرفة_1234_seed_42_ocr_loss_2.0_angels_loss_0.5,,,0.21455836296081543,0.013346164487302303,499,0.21455836296081543,0.013346164487302303
06_جري_1_seed_42_ocr_loss_0.5_angels_loss_0.5,,,0.3043915033340454,0.02147020399570465,499,0.3043915033340454,0.02147020399570465
06_عطف_0_seed_42_ocr_loss_0.5_angels_loss_0.5,,,0.24116277694702148,0.03891703858971596,499,0.24116277694702148,0.03891703858971596
06_ثعلب_012_seed_1_ocr_loss_1.5_angels_loss_0.5,,,0.294798880815506,0.014925883151590824,499,0.294798880815506,0.014925883151590824
05_فلسطين_3_seed_42_ocr_loss_0.5_angels_loss_0.5,,,0.2800053060054779,0.03211959823966026,499,0.2800053060054779,0.03211959823966026
ITERATION AVERAGES,,,,,,,
,,,0.2560536054273446,0.01984881656244397,499,,
